Localidades;Periodos;EmpregosFormais ;EmpregosFormaisdeHomens ;EmpregosFormaisdeMulheres ;Cód. IBGE
Jaborandi;2014;951;581;370;3524204
Jaborandi;2015;980;587;393;3524204
Jaborandi;2016;900;519;381;3524204
Jaborandi;2017;931;515;416;3524204
Jaboticabal;2013;23224;15141;8083;3524303
Jaboticabal;2014;23222;14928;8294;3524303
Jaboticabal;2015;22455;14431;8024;3524303
Jaboticabal;2016;21134;13197;7937;3524303
Jaboticabal;2017;20323;12595;7728;3524303
Jacareí;2013;46627;27153;19474;3524402
Jacareí;2014;48473;27957;20516;3524402
Jacareí;2015;48896;28278;20618;3524402
Jacareí;2016;48742;27874;20868;3524402
Jacareí;2017;47934;27364;20570;3524402
Jaci;2013;2856;1450;1406;3524501
Jaci;2014;2947;1555;1392;3524501
Jaci;2015;2550;1427;1123;3524501
Jaci;2016;2365;1284;1081;3524501
Jaci;2017;2396;1329;1067;3524501
Jacupiranga;2013;3574;2485;1087;3524600
Jacupiranga;2014;3372;2268;1104;3524600
Jacupiranga;2015;3432;2353;1079;3524600
Jacupiranga;2016;3474;2373;1101;3524600
Jacupiranga;2017;3456;2349;1107;3524600
Jaguariúna;2013;32306;18542;13764;3524709
Jaguariúna;2014;36282;20250;16032;3524709
Jaguariúna;2015;36874;20766;16108;3524709
Jaguariúna;2016;34027;19135;14892;3524709
Jaguariúna;2017;34384;19478;14906;3524709
Jales;2013;11083;6065;5018;3524808
Jales;2014;10720;5833;4887;3524808
Jales;2015;10836;5725;5111;3524808
Jales;2016;10781;5820;4961;3524808
Jales;2017;10980;5916;5064;3524808
Jambeiro;2013;3705;2793;912;3524907
Jambeiro;2014;3825;2929;896;3524907
Jambeiro;2015;2717;1931;786;3524907
Jambeiro;2016;2522;1782;740;3524907
Jambeiro;2017;2674;1883;791;3524907
Jandira;2013;20918;12809;8109;3525003
Jandira;2014;23511;14409;9102;3525003
Jandira;2015;19950;11637;8313;3525003
Jandira;2016;19374;11390;7984;3525003
Jandira;2017;18729;10980;7749;3525003
Jardinópolis;2013;9223;5620;3603;3525102
Jardinópolis;2014;8347;4746;3601;3525102
Jardinópolis;2015;8753;4966;3787;3525102
Jardinópolis;2016;8597;4740;3857;3525102
Jardinópolis;2017;8777;4765;4012;3525102
Jarinu;2013;6855;3835;3020;3525201
Jarinu;2014;7379;4235;3144;3525201
Jarinu;2015;7383;4220;3163;3525201
Jarinu;2016;7892;4566;3326;3525201
Jarinu;2017;8227;4627;3600;3525201
Jaú;2013;39990;22130;17860;3525300
Jaú;2014;42481;23071;19410;3525300
Jaú;2015;39081;21523;17558;3525300
Jaú;2016;38723;21346;17377;3525300
Jaú;2017;41032;23301;17731;3525300
Jeriquara;2013;654;377;277;3525409
Jeriquara;2014;670;381;289;3525409
Jeriquara;2015;698;406;292;3525409
Jeriquara;2016;770;472;298;3525409
Jeriquara;2017;762;465;297;3525409
Joanópolis;2013;2040;1015;1025;3525508
Joanópolis;2014;2246;1140;1106;3525508
Joanópolis;2015;2285;1201;1084;3525508
Joanópolis;2016;2272;1214;1058;3525508
Joanópolis;2017;2332;1229;1103;3525508
João Ramalho;2013;489;268;221;3525607
João Ramalho;2014;519;288;231;3525607
João Ramalho;2015;425;219;206;3525607
João Ramalho;2016;516;282;234;3525607
João Ramalho;2017;456;242;214;3525607
José Bonifácio;2013;10280;6433;3847;3525706
José Bonifácio;2014;9799;6011;3788;3525706
José Bonifácio;2015;9996;6344;3652;3525706
José Bonifácio;2016;9892;6275;3617;3525706
José Bonifácio;2017;10083;6327;3756;3525706
Júlio Mesquita;2013;292;170;122;3525805
Júlio Mesquita;2014;545;289;256;3525805
Júlio Mesquita;2015;573;302;271;3525805
Júlio Mesquita;2016;554;274;280;3525805
Júlio Mesquita;2017;539;272;267;3525805
Jumirim;2013;1029;716;313;3525854
Jumirim;2014;978;677;301;3525854
Jumirim;2015;1232;855;377;3525854
Jumirim;2016;1077;752;325;3525854
Jumirim;2017;1217;838;379;3525854
Jundiaí;2013;181170;99526;81644;3525904
Jundiaí;2014;181692;100353;81339;3525904
Jundiaí;2015;172995;95650;77345;3525904
Jundiaí;2016;165924;90404;75520;3525904
Jundiaí;2017;162980;89720;73260;3525904
Junqueirópolis;2013;5441;3802;1639;3526001
Junqueirópolis;2014;5622;3861;1761;3526001
Junqueirópolis;2015;6038;4255;1783;3526001
Junqueirópolis;2016;5272;3651;1621;3526001
Junqueirópolis;2017;5315;3713;1602;3526001
Juquiá;2013;2397;1460;937;3526100
Juquiá;2014;2361;1428;933;3526100
Juquiá;2015;2410;1434;976;3526100
Juquiá;2016;2373;1415;958;3526100
Juquiá;2017;2376;1384;992;3526100
Juquitiba;2013;4061;2215;1846;3526209
Juquitiba;2014;4249;2109;2140;3526209
Juquitiba;2015;3752;1940;1812;3526209
Juquitiba;2016;5755;2065;3690;3526209
Juquitiba;2017;4431;2014;2417;3526209
Lagoinha;2013;719;475;244;3526308
Lagoinha;2014;724;477;247;3526308
Lagoinha;2015;747;475;272;3526308
Lagoinha;2016;705;452;253;3526308
Lagoinha;2017;715;454;261;3526308
Laranjal Paulista;2013;8559;4681;3878;3526407
Laranjal Paulista;2014;8486;4593;3893;3526407
Laranjal Paulista;2015;8685;4743;3942;3526407
Laranjal Paulista;2016;8832;4928;3904;3526407
Laranjal Paulista;2017;9093;5113;3980;3526407
Lavínia;2013;849;419;430;3526506
Lavínia;2014;788;396;392;3526506
Lavínia;2015;738;410;328;3526506
Lavínia;2016;822;404;418;3526506
Lavínia;2017;686;382;304;3526506
Lavrinhas;2013;778;447;331;3526605
Lavrinhas;2014;805;457;348;3526605
Lavrinhas;2015;817;477;340;3526605
Lavrinhas;2016;764;456;308;3526605
Lavrinhas;2017;787;448;339;3526605
Leme;2013;23741;13826;9915;3526704
Leme;2014;23627;13745;9882;3526704
Leme;2015;23014;13452;9562;3526704
Leme;2016;22086;12764;9322;3526704
Leme;2017;22244;12751;9493;3526704
Lençóis Paulista;2013;20875;13324;7551;3526803
Lençóis Paulista;2014;20288;12635;7653;3526803
Lençóis Paulista;2015;19775;12405;7370;3526803
Lençóis Paulista;2016;18513;11765;6748;3526803
Lençóis Paulista;2017;19390;12220;7170;3526803
Limeira;2013;89750;51644;38106;3526902
Limeira;2014;88567;50819;37748;3526902
Limeira;2015;83509;47074;36435;3526902
Limeira;2016;81255;46077;35178;3526902
Limeira;2017;81141;46098;35043;3526902
Lindóia;2013;1938;1101;837;3527009
Lindóia;2014;2082;1207;875;3527009
Lindóia;2015;2069;1209;860;3527009
Lindóia;2016;2022;1168;854;3527009
Lindóia;2017;1975;1181;794;3527009
Lins;2013;27261;16478;10783;3527108
Lins;2014;25899;15395;10504;3527108
Lins;2015;24826;14726;10100;3527108
Lins;2016;25154;14761;10393;3527108
Lins;2017;24032;14218;9814;3527108
Lorena;2013;16776;9745;7031;3527207
Lorena;2014;17740;10365;7375;3527207
Lorena;2015;17414;10061;7353;3527207
Lorena;2016;17240;9926;7314;3527207
Lorena;2017;17261;9832;7429;3527207
Lourdes;2013;282;124;158;3527256
Lourdes;2014;283;119;164;3527256
Lourdes;2015;278;111;167;3527256
Lourdes;2016;265;102;163;3527256
Lourdes;2017;248;94;154;3527256
Louveira;2013;18944;10868;8076;3527306
Louveira;2014;17877;10108;7769;3527306
Louveira;2015;17747;10351;7396;3527306
Louveira;2016;16730;9982;6748;3527306
Louveira;2017;16166;9578;6588;3527306
Lucélia;2013;7813;2462;5351;3527405
Lucélia;2014;8558;2804;5754;3527405
Lucélia;2015;8691;3195;5496;3527405
Lucélia;2016;8196;2724;5472;3527405
Lucélia;2017;7934;2722;5212;3527405
Lucianópolis;2013;870;631;239;3527504
Lucianópolis;2014;821;604;217;3527504
Lucianópolis;2015;880;646;234;3527504
Lucianópolis;2016;684;481;203;3527504
Lucianópolis;2017;932;694;238;3527504
Luís Antônio;2013;5008;4082;926;3527603
Luís Antônio;2014;5046;3868;1178;3527603
Luís Antônio;2015;5339;3962;1377;3527603
Luís Antônio;2016;5413;4207;1206;3527603
Luís Antônio;2017;6443;4902;1541;3527603
Luiziânia;2013;540;323;217;3527702
Luiziânia;2014;661;399;262;3527702
Luiziânia;2015;460;226;234;3527702
Luiziânia;2016;446;224;222;3527702
Luiziânia;2017;443;232;211;3527702
Lupércio;2013;683;454;229;3527801
Lupércio;2014;617;399;218;3527801
Lupércio;2015;555;359;196;3527801
Lupércio;2016;487;295;192;3527801
Lupércio;2017;637;433;204;3527801
Lutécia;2013;403;235;168;3527900
Lutécia;2014;447;274;173;3527900
Lutécia;2015;440;270;170;3527900
Lutécia;2016;441;257;184;3527900
Lutécia;2017;445;259;186;3527900
Macatuba;2013;4410;2644;1766;3528007
Macatuba;2014;4347;2639;1708;3528007
Macatuba;2015;4368;2661;1707;3528007
Macatuba;2016;4136;2453;1683;3528007
Macatuba;2017;3974;2389;1585;3528007
Macaubal;2013;2448;1269;1179;3528106
Macaubal;2014;2057;1043;1014;3528106
Macaubal;2015;1758;936;822;3528106
Macaubal;2016;1645;842;803;3528106
Macaubal;2017;1747;970;777;3528106
Macedônia;2013;493;314;179;3528205
Macedônia;2014;490;322;168;3528205
Macedônia;2015;485;313;172;3528205
Macedônia;2016;465;295;170;3528205
Macedônia;2017;452;276;176;3528205
Magda;2013;603;397;206;3528304
Magda;2014;570;379;191;3528304
Magda;2015;620;400;220;3528304
Magda;2016;637;412;225;3528304
Magda;2017;667;399;268;3528304
Mairinque;2013;9578;5303;4275;3528403
Mairinque;2014;9376;5182;4194;3528403
Mairinque;2015;9097;4878;4219;3528403
Mairinque;2016;9216;4822;4394;3528403
Mairinque;2017;9562;4935;4627;3528403
Mairiporã;2013;14716;8677;6039;3528502
Mairiporã;2014;14266;8312;5954;3528502
Mairiporã;2015;13367;7665;5702;3528502
Mairiporã;2016;13376;7702;5674;3528502
Mairiporã;2017;13578;7752;5826;3528502
Manduri;2013;1808;1082;726;3528601
Manduri;2014;1407;932;475;3528601
Manduri;2015;1769;1081;688;3528601
Manduri;2016;1698;1032;666;3528601
Manduri;2017;1440;858;582;3528601
Marabá Paulista;2013;711;449;262;3528700
Marabá Paulista;2014;677;414;263;3528700
Marabá Paulista;2015;678;424;254;3528700
Marabá Paulista;2016;664;406;258;3528700
Marabá Paulista;2017;649;394;255;3528700
Maracaí;2013;2555;1583;972;3528809
Maracaí;2014;2023;1192;831;3528809
Maracaí;2015;2418;1485;933;3528809
Maracaí;2016;2605;1543;1062;3528809
Maracaí;2017;2696;1764;932;3528809
Marapoama;2013;1444;1135;309;3528858
Marapoama;2014;1407;1080;327;3528858
Marapoama;2015;1426;1083;343;3528858
Marapoama;2016;1496;1154;342;3528858
Marapoama;2017;1478;1113;365;3528858
Mariápolis;2013;353;187;166;3528908
Mariápolis;2014;367;191;176;3528908
Mariápolis;2015;353;182;171;3528908
Mariápolis;2016;328;170;158;3528908
Mariápolis;2017;331;169;162;3528908
Marília;2013;64346;35529;28817;3529005
Marília;2014;65792;35723;30069;3529005
Marília;2015;65282;35040;30242;3529005
Marília;2016;66320;35477;30843;3529005
Marília;2017;66947;35490;31457;3529005
Marinópolis;2013;319;175;144;3529104
Marinópolis;2014;325;179;146;3529104
Marinópolis;2015;324;186;138;3529104
Marinópolis;2016;336;189;147;3529104
Marinópolis;2017;315;173;142;3529104
Martinópolis;2013;3494;2094;1400;3529203
Martinópolis;2014;3365;1865;1500;3529203
Martinópolis;2015;3442;1914;1528;3529203
Martinópolis;2016;2985;1596;1389;3529203
Martinópolis;2017;2931;1525;1406;3529203
Matão;2013;32407;20646;11761;3529302
Matão;2014;30916;19466;11450;3529302
Matão;2015;33424;21650;11774;3529302
Matão;2016;30315;19279;11036;3529302
Matão;2017;32368;20816;11552;3529302
Mauá;2013;73131;43588;29543;3529401
Mauá;2014;66979;40911;26068;3529401
Mauá;2015;66174;39803;26371;3529401
Mauá;2016;64480;38990;25490;3529401
Mauá;2017;63968;38502;25466;3529401
Mendonça;2013;2151;1627;524;3529500
Mendonça;2014;2437;1834;603;3529500
Mendonça;2015;1338;825;513;3529500
Mendonça;2016;2310;1733;577;3529500
Mendonça;2017;2429;1835;594;3529500
Meridiano;2013;2408;2003;405;3529609
Meridiano;2014;2549;2096;453;3529609
Meridiano;2015;2382;1921;461;3529609
Meridiano;2016;2169;1767;402;3529609
Meridiano;2017;2142;1715;427;3529609
Mesópolis;2013;240;111;129;3529658
Mesópolis;2014;223;105;118;3529658
Mesópolis;2015;219;104;115;3529658
Mesópolis;2016;227;109;118;3529658
Mesópolis;2017;251;116;135;3529658
Miguelópolis;2013;4292;2732;1560;3529708
Miguelópolis;2014;4351;2659;1692;3529708
Miguelópolis;2015;3451;1792;1659;3529708
Miguelópolis;2016;2735;1266;1469;3529708
Miguelópolis;2017;2713;1233;1480;3529708
Mineiros do Tietê;2013;1722;971;751;3529807
Mineiros do Tietê;2014;1847;1096;751;3529807
Mineiros do Tietê;2015;1589;880;709;3529807
Mineiros do Tietê;2016;1450;828;622;3529807
Mineiros do Tietê;2017;1536;869;667;3529807
Mira Estrela;2013;457;242;215;3530003
Mira Estrela;2014;458;236;222;3530003
Mira Estrela;2015;487;258;229;3530003
Mira Estrela;2016;488;255;233;3530003
Mira Estrela;2017;452;242;210;3530003
Miracatu;2013;2793;1791;1002;3529906
Miracatu;2014;2902;1757;1145;3529906
Miracatu;2015;2942;1707;1235;3529906
Miracatu;2016;3106;1807;1299;3529906
Miracatu;2017;2718;1591;1127;3529906
Mirandópolis;2013;4302;2488;1814;3530102
Mirandópolis;2014;4258;2399;1859;3530102
Mirandópolis;2015;3942;2220;1722;3530102
Mirandópolis;2016;3836;2155;1681;3530102
Mirandópolis;2017;3848;2207;1641;3530102
Mirante do Paranapanema;2013;3736;2760;976;3530201
Mirante do Paranapanema;2014;3713;2772;941;3530201
Mirante do Paranapanema;2015;3700;2676;1024;3530201
Mirante do Paranapanema;2016;3502;2527;975;3530201
Mirante do Paranapanema;2017;3633;2603;1030;3530201
Mirassol;2013;14767;9100;5667;3530300
Mirassol;2014;15136;9419;5717;3530300
Mirassol;2015;14058;8481;5577;3530300
Mirassol;2016;13298;8014;5284;3530300
Mirassol;2017;13731;8327;5404;3530300
Mirassolândia;2013;543;317;226;3530409
Mirassolândia;2014;583;329;254;3530409
Mirassolândia;2015;551;359;192;3530409
Mirassolândia;2016;568;384;184;3530409
Mirassolândia;2017;565;372;193;3530409
Mococa;2013;17731;11328;6403;3530508
Mococa;2014;17582;11058;6524;3530508
Mococa;2015;17029;10829;6200;3530508
Mococa;2016;16470;10415;6055;3530508
Mococa;2017;16757;10802;5955;3530508
Mogi das Cruzes;2013;101402;56392;45010;3530607
Mogi das Cruzes;2014;104185;57450;46735;3530607
Mogi das Cruzes;2015;100987;55074;45913;3530607
Mogi das Cruzes;2016;98273;54033;44240;3530607
Mogi das Cruzes;2017;99614;54820;44794;3530607
Mogi Guaçu;2013;40766;24071;16695;3530706
Mogi Guaçu;2014;40905;24099;16806;3530706
Mogi Guaçu;2015;41680;23835;17845;3530706
Mogi Guaçu;2016;37809;22125;15684;3530706
Mogi Guaçu;2017;39210;22895;16315;3530706
Mogi Mirim;2013;29371;17425;11946;
Mogi Mirim;2014;29326;17203;12123;
Mogi Mirim;2015;28367;16504;11863;
Mogi Mirim;2016;27216;15793;11423;
Mogi Mirim;2017;27594;16072;11522;
Mombuca;2013;491;265;226;3530904
Mombuca;2014;535;305;230;3530904
Mombuca;2015;592;346;246;3530904
Mombuca;2016;603;371;232;3530904
Mombuca;2017;711;413;298;3530904
Mongaguá;2013;5919;2958;2961;3531100
Mongaguá;2014;6032;3107;2925;3531100
Mongaguá;2015;6574;3445;3129;3531100
Mongaguá;2016;6134;3204;2930;3531100
Mongaguá;2017;6189;3291;2898;3531100
Monte Alegre do Sul;2013;1405;747;658;3531209
Monte Alegre do Sul;2014;1127;642;485;3531209
Monte Alegre do Sul;2015;1162;649;513;3531209
Monte Alegre do Sul;2016;1089;614;475;3531209
Monte Alegre do Sul;2017;1194;688;506;3531209
Monte Alto;2013;14343;8586;5757;3531308
Monte Alto;2014;13704;8075;5629;3531308
Monte Alto;2015;13130;7605;5525;3531308
Monte Alto;2016;12874;7515;5359;3531308
Monte Alto;2017;12925;7522;5403;3531308
Monte Aprazível;2013;4212;2500;1712;3531407
Monte Aprazível;2014;5535;3826;1709;3531407
Monte Aprazível;2015;5850;4145;1705;3531407
Monte Aprazível;2016;6135;4498;1637;3531407
Monte Aprazível;2017;4182;2615;1567;3531407
Monte Azul Paulista;2013;5963;3961;2002;3531506
Monte Azul Paulista;2014;5084;3277;1807;3531506
Monte Azul Paulista;2015;4742;3037;1705;3531506
Monte Azul Paulista;2016;4045;2503;1542;3531506
Monte Azul Paulista;2017;5467;3725;1742;3531506
Monte Castelo;2013;581;267;314;3531605
Monte Castelo;2014;534;239;295;3531605
Monte Castelo;2015;606;300;306;3531605
Monte Castelo;2016;499;247;252;3531605
Monte Castelo;2017;507;263;244;3531605
Monte Mor;2013;11246;7069;4177;3531803
Monte Mor;2014;13389;8707;4682;3531803
Monte Mor;2015;13220;8442;4778;3531803
Monte Mor;2016;13161;8332;4829;3531803
Monte Mor;2017;14259;8779;5480;3531803
Monteiro Lobato;2013;856;532;324;3531704
Monteiro Lobato;2014;1048;689;359;3531704
Monteiro Lobato;2015;676;403;273;3531704
Monteiro Lobato;2016;675;410;265;3531704
Monteiro Lobato;2017;664;414;250;3531704
Monções;2013;1798;1578;220;3531001
Monções;2014;1417;1229;188;3531001
Monções;2015;1564;1340;224;3531001
Monções;2016;1751;1528;223;3531001
Monções;2017;1679;1429;250;3531001
Morro Agudo;2013;8168;5689;2479;3531902
Morro Agudo;2014;8392;5927;2465;3531902
Morro Agudo;2015;9079;6610;2469;3531902
Morro Agudo;2016;8785;6408;2377;3531902
Morro Agudo;2017;8200;5846;2354;3531902
Morungaba;2013;11314;5205;6109;3532009
Morungaba;2014;9869;4519;5350;3532009
Morungaba;2015;8210;3917;4293;3532009
Morungaba;2016;6058;2381;3677;3532009
Morungaba;2017;5462;2196;3266;3532009
Motuca;2013;523;251;272;3532058
Motuca;2014;539;266;273;3532058
Motuca;2015;591;306;285;3532058
Motuca;2016;627;342;285;3532058
Motuca;2017;639;360;279;3532058
Murutinga do Sul;2013;486;254;232;3532108
Murutinga do Sul;2014;511;270;241;3532108
Murutinga do Sul;2015;495;258;237;3532108
Murutinga do Sul;2016;524;286;238;3532108
Murutinga do Sul;2017;478;250;228;3532108
Nantes;2013;352;207;145;3532157
Nantes;2014;342;200;142;3532157
Nantes;2015;367;214;153;3532157
Nantes;2016;324;194;130;3532157
Nantes;2017;369;222;147;3532157
Narandiba;2013;1045;654;391;3532207
Narandiba;2014;1050;654;396;3532207
Narandiba;2015;1033;655;378;3532207
Narandiba;2016;1040;666;374;3532207
Narandiba;2017;1059;679;380;3532207
Natividade da Serra;2013;704;473;231;3532306
Natividade da Serra;2014;753;522;231;3532306
Natividade da Serra;2015;787;518;269;3532306
Natividade da Serra;2016;716;486;230;3532306
Natividade da Serra;2017;694;471;223;3532306
Nazaré Paulista;2013;2887;1862;1025;3532405
Nazaré Paulista;2014;2778;1686;1092;3532405
Nazaré Paulista;2015;2805;1682;1123;3532405
Nazaré Paulista;2016;2712;1607;1105;3532405
Nazaré Paulista;2017;2885;1784;1101;3532405
Neves Paulista;2013;1620;959;661;3532504
Neves Paulista;2014;1618;961;657;3532504
Neves Paulista;2015;1584;922;662;3532504
Neves Paulista;2016;1679;1058;621;3532504
Neves Paulista;2017;1916;1162;754;3532504
Nhandeara;2013;1850;1042;808;3532603
Nhandeara;2014;1935;1068;867;3532603
Nhandeara;2015;1849;1002;847;3532603
Nhandeara;2016;1778;929;849;3532603
Nhandeara;2017;1703;878;825;3532603
Nipoã;2013;627;358;269;3532702
Nipoã;2014;743;420;323;3532702
Nipoã;2015;774;450;324;3532702
Nipoã;2016;757;449;308;3532702
Nipoã;2017;819;493;326;3532702
Nova Aliança;2013;1138;657;481;3532801
Nova Aliança;2014;1185;689;496;3532801
Nova Aliança;2015;1205;685;520;3532801
Nova Aliança;2016;1244;707;537;3532801
Nova Aliança;2017;1352;778;574;3532801
Nova Campina;2013;2340;1679;661;3532827
Nova Campina;2014;2072;1494;578;3532827
Nova Campina;2015;2246;1634;612;3532827
Nova Campina;2016;1908;1417;491;3532827
Nova Campina;2017;1956;1458;498;3532827
Nova Canaã Paulista;2013;213;103;110;3532843
Nova Canaã Paulista;2014;255;145;110;3532843
Nova Canaã Paulista;2015;214;106;108;3532843
Nova Canaã Paulista;2016;214;106;108;3532843
Nova Canaã Paulista;2017;202;105;97;3532843
Nova Castilho;2013;240;144;96;3532868
Nova Castilho;2014;224;136;88;3532868
Nova Castilho;2015;235;143;92;3532868
Nova Castilho;2016;236;143;93;3532868
Nova Castilho;2017;219;139;80;3532868
Nova Europa;2013;3946;3071;875;3532900
Nova Europa;2014;4035;3245;790;3532900
Nova Europa;2015;4039;3205;834;3532900
Nova Europa;2016;3786;3046;740;3532900
Nova Europa;2017;3586;2800;786;3532900
Nova Granada;2013;2565;1369;1196;3533007
Nova Granada;2014;2560;1330;1230;3533007
Nova Granada;2015;2554;1384;1170;3533007
Nova Granada;2016;2608;1374;1234;3533007
Nova Granada;2017;2960;1647;1313;3533007
Nova Guataporanga;2013;253;145;108;3533106
Nova Guataporanga;2014;231;125;106;3533106
Nova Guataporanga;2015;236;129;107;3533106
Nova Guataporanga;2016;225;122;103;3533106
Nova Guataporanga;2017;256;135;121;3533106
Nova Independência;2013;1390;1044;346;3533205
Nova Independência;2014;1393;1047;346;3533205
Nova Independência;2015;1298;988;310;3533205
Nova Independência;2016;1342;1037;305;3533205
Nova Independência;2017;1546;1218;328;3533205
Nova Luzitânia;2013;353;179;174;3533304
Nova Luzitânia;2014;323;152;171;3533304
Nova Luzitânia;2015;277;132;145;3533304
Nova Luzitânia;2016;269;122;147;3533304
Nova Luzitânia;2017;278;131;147;3533304
Nova Odessa;2013;19748;12461;7287;3533403
Nova Odessa;2014;19459;12044;7415;3533403
Nova Odessa;2015;18446;11471;6975;3533403
Nova Odessa;2016;18115;11224;6891;3533403
Nova Odessa;2017;18963;11767;7196;3533403
Novais;2013;351;162;189;3533254
Novais;2014;438;174;264;3533254
Novais;2015;428;181;247;3533254
Novais;2016;427;178;249;3533254
Novais;2017;457;208;249;3533254
Novo Horizonte;2013;9896;6491;3405;3533502
Novo Horizonte;2014;8688;5519;3169;3533502
Novo Horizonte;2015;10702;7284;3418;3533502
Novo Horizonte;2016;9744;6367;3377;3533502
Novo Horizonte;2017;9751;6372;3379;3533502
Nuporanga;2013;2810;1246;1564;3533601
Nuporanga;2014;2991;1391;1600;3533601
Nuporanga;2015;3064;1435;1629;3533601
Nuporanga;2016;3005;1412;1593;3533601
Nuporanga;2017;3170;1479;1691;3533601
Ocauçu;2013;740;471;269;3533700
Ocauçu;2014;817;500;317;3533700
Ocauçu;2015;859;548;311;3533700
Ocauçu;2016;902;575;327;3533700
Ocauçu;2017;969;641;328;3533700
Óleo;2013;361;232;129;3533809
Óleo;2014;361;227;134;3533809
Óleo;2015;364;240;124;3533809
Óleo;2016;332;213;119;3533809
Óleo;2017;333;209;124;3533809
Olímpia;2013;14856;9334;5522;3533908
Olímpia;2014;15361;9545;5816;3533908
Olímpia;2015;15395;9381;6014;3533908
Olímpia;2016;15019;9108;5911;3533908
Olímpia;2017;15075;9100;5975;3533908
Onda Verde;2013;3366;2708;658;3534005
Onda Verde;2014;2290;1661;629;3534005
Onda Verde;2015;2681;2006;675;3534005
Onda Verde;2016;2333;1709;624;3534005
Onda Verde;2017;2269;1697;572;3534005
Oriente;2013;961;639;322;3534104
Oriente;2014;912;588;324;3534104
Oriente;2015;951;605;346;3534104
Oriente;2016;807;476;331;3534104
Oriente;2017;849;514;335;3534104
Orindiúva;2013;3135;2481;654;3534203
Orindiúva;2014;2991;2356;635;3534203
Orindiúva;2015;2880;2248;632;3534203
Orindiúva;2016;2908;2301;607;3534203
Orindiúva;2017;2876;2256;620;3534203
Orlândia;2013;11917;7942;3975;3534302
Orlândia;2014;11931;7854;4077;3534302
Orlândia;2015;11493;7529;3964;3534302
Orlândia;2016;11386;7433;3953;3534302
Orlândia;2017;11538;7567;3971;3534302
Osasco;2013;175612;99514;76098;3534401
Osasco;2014;177201;99176;78025;3534401
Osasco;2015;169369;94420;74949;3534401
Osasco;2016;160186;87716;72470;3534401
Osasco;2017;155192;85411;69781;3534401
Oscar Bressane;2013;434;232;202;3534500
Oscar Bressane;2014;433;235;198;3534500
Oscar Bressane;2015;442;250;192;3534500
Oscar Bressane;2016;452;247;205;3534500
Oscar Bressane;2017;454;249;205;3534500
Osvaldo Cruz;2013;7771;4265;3506;3534609
Osvaldo Cruz;2014;7911;4318;3593;3534609
Osvaldo Cruz;2015;7754;4227;3527;3534609
Osvaldo Cruz;2016;7362;3927;3435;3534609
Osvaldo Cruz;2017;7367;3976;3391;3534609
Ourinhos;2013;27843;16447;11396;3534708
Ourinhos;2014;28006;16347;11659;3534708
Ourinhos;2015;27383;15894;11489;3534708
Ourinhos;2016;26600;15359;11241;3534708
Ourinhos;2017;26636;15455;11181;3534708
Ouro Verde;2013;681;390;291;3534807
Ouro Verde;2014;678;367;311;3534807
Ouro Verde;2015;771;458;313;3534807
Ouro Verde;2016;748;435;313;3534807
Ouro Verde;2017;765;439;326;3534807
Ouroeste;2013;3231;2255;976;3534757
Ouroeste;2014;3107;2127;980;3534757
Ouroeste;2015;2778;1935;843;3534757
Ouroeste;2016;2805;1998;807;3534757
Ouroeste;2017;2897;2155;742;3534757
Pacaembu;2013;1424;760;664;3534906
Pacaembu;2014;1469;808;661;3534906
Pacaembu;2015;1494;811;683;3534906
Pacaembu;2016;1461;745;716;3534906
Pacaembu;2017;1502;776;726;3534906
Palestina;2013;2750;2035;715;3535002
Palestina;2014;2871;2090;781;3535002
Palestina;2015;2717;1963;754;3535002
Palestina;2016;2580;1879;701;3535002
Palestina;2017;2548;1797;751;3535002
Palmares Paulista;2013;802;333;469;3535101
Palmares Paulista;2014;804;333;471;3535101
Palmares Paulista;2015;779;325;454;3535101
Palmares Paulista;2016;784;334;450;3535101
Palmares Paulista;2017;776;317;459;3535101
Palmeira d'Oeste;2013;1027;554;473;3535200
Palmeira d'Oeste;2014;1099;612;487;3535200
Palmeira d'Oeste;2015;1076;637;439;3535200
Palmeira d'Oeste;2016;1174;698;476;3535200
Palmeira d'Oeste;2017;1071;650;421;3535200
Palmital;2013;3808;2338;1470;3535309
Palmital;2014;3828;2278;1550;3535309
Palmital;2015;3816;2308;1508;3535309
Palmital;2016;3823;2362;1461;3535309
Palmital;2017;4039;2567;1472;3535309
Panorama;2013;2960;2004;956;3535408
Panorama;2014;3003;1944;1059;3535408
Panorama;2015;2904;1872;1032;3535408
Panorama;2016;2920;1882;1038;3535408
Panorama;2017;2776;1783;993;3535408
Paraguaçu Paulista;2013;14809;10253;4556;3535507
Paraguaçu Paulista;2014;14061;9619;4442;3535507
Paraguaçu Paulista;2015;12873;8899;3974;3535507
Paraguaçu Paulista;2016;12689;8905;3784;3535507
Paraguaçu Paulista;2017;12671;8990;3681;3535507
Paraibuna;2013;2695;1358;1337;3535606
Paraibuna;2014;2728;1387;1341;3535606
Paraibuna;2015;3021;1637;1384;3535606
Paraibuna;2016;2731;1464;1267;3535606
Paraibuna;2017;2734;1554;1180;3535606
Paraíso;2013;2356;1717;639;3535705
Paraíso;2014;2134;1581;553;3535705
Paraíso;2015;1772;1284;488;3535705
Paraíso;2016;2147;1511;636;3535705
Paraíso;2017;1968;1444;524;3535705
Paranapanema;2013;4497;2633;1864;3535804
Paranapanema;2014;4763;2688;2075;3535804
